=== Job started: Thu May 28 17:06:47 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-28 17:07:26,966] A new study created in memory with name: rgb
Epoch 6, Val loss: 0.3292, Val F1: 0.8833
Epoch 7, Val loss: 0.2160, Val F1: 0.9258
Epoch 8, Val loss: 0.2383, Val F1: 0.9159
Epoch 9, Val loss: 0.1828, Val F1: 0.9365
Epoch 10, Val loss: 0.2294, Val F1: 0.9230
Epoch 11, Val loss: 0.2208, Val F1: 0.9228
Epoch 12, Val loss: 0.1888, Val F1: 0.9352
Epoch 13, Val loss: 0.2354, Val F1: 0.9206
Epoch 14, Val loss: 0.1970, Val F1: 0.9345
[I 2026-05-28 17:26:52,512] Trial 26 finished with value: 0.9364888703766688 and parameters: {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'single_3', 'n_fc_layers': 1, 'fc_hidden': 512, 'dropout': 0.48406331090889737, 'activation': 'silu', 'lr': 0.00014372934436741264}. Best is trial 22 with value: 0.9460778067713711.
Epoch 1, Val loss: 0.9852, Val F1: 0.6095
[I 2026-05-28 17:26:54,522] Trial 27 pruned. 
Epoch 1, Val loss: 0.7579, Val F1: 0.7173
[I 2026-05-28 17:26:56,890] Trial 28 pruned. 
Epoch 1, Val loss: 1.1466, Val F1: 0.5308
[I 2026-05-28 17:26:59,543] Trial 29 pruned. 
Epoch 1, Val loss: 0.7266, Val F1: 0.7333
Epoch 2, Val loss: 0.4806, Val F1: 0.8241
Epoch 3, Val loss: 0.3984, Val F1: 0.8545
Epoch 4, Val loss: 0.3379, Val F1: 0.8791
Epoch 5, Val loss: 0.3295, Val F1: 0.8818
Epoch 6, Val loss: 0.2494, Val F1: 0.9098
Epoch 7, Val loss: 0.2455, Val F1: 0.9153
Epoch 8, Val loss: 0.2368, Val F1: 0.9203
Epoch 9, Val loss: 0.2245, Val F1: 0.9213
Epoch 10, Val loss: 0.2320, Val F1: 0.9202
Epoch 11, Val loss: 0.2107, Val F1: 0.9256
Epoch 12, Val loss: 0.2590, Val F1: 0.9212
Epoch 13, Val loss: 0.1832, Val F1: 0.9349
Epoch 14, Val loss: 0.2378, Val F1: 0.9183
Epoch 15, Val loss: 0.2037, Val F1: 0.9312
Epoch 16, Val loss: 0.2375, Val F1: 0.9300
Epoch 17, Val loss: 0.2274, Val F1: 0.9265
Epoch 18, Val loss: 0.1664, Val F1: 0.9453
