=== Job started: Sun May 31 15:15:09 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-31 15:15:15,607] A new study created in memory with name: ms
[I 2026-05-31 15:29:42,379] Trial 11 finished with value: 0.9735454611142842 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_3', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'multi_3_7', 'n_fc_layers': 1, 'fc_hidden': 64, 'dropout': 0.3264732966943868, 'activation': 'silu', 'lr': 0.0006896121262761433}. Best is trial 11 with value: 0.9735454611142842.
Epoch 1, Val loss: 0.7518, Val F1: 0.7530
Epoch 2, Val loss: 0.3920, Val F1: 0.8770
Epoch 3, Val loss: 0.2785, Val F1: 0.9163
Epoch 4, Val loss: 0.2170, Val F1: 0.9378
Epoch 5, Val loss: 0.2165, Val F1: 0.9330
Epoch 6, Val loss: 0.4643, Val F1: 0.8812
Epoch 7, Val loss: 0.1558, Val F1: 0.9525
Epoch 8, Val loss: 0.1835, Val F1: 0.9457
Epoch 9, Val loss: 0.2176, Val F1: 0.9387
Epoch 10, Val loss: 0.1881, Val F1: 0.9488
Epoch 11, Val loss: 0.1469, Val F1: 0.9551
Epoch 12, Val loss: 0.1201, Val F1: 0.9605
Epoch 13, Val loss: 0.1326, Val F1: 0.9588
Epoch 14, Val loss: 0.1462, Val F1: 0.9550
Epoch 15, Val loss: 0.1644, Val F1: 0.9522
Epoch 16, Val loss: 0.1103, Val F1: 0.9658
Epoch 17, Val loss: 0.1052, Val F1: 0.9706
Epoch 18, Val loss: 0.1151, Val F1: 0.9651
Epoch 19, Val loss: 0.1198, Val F1: 0.9681
Epoch 20, Val loss: 0.1072, Val F1: 0.9714
Epoch 21, Val loss: 0.1300, Val F1: 0.9645
Epoch 22, Val loss: 0.1107, Val F1: 0.9706
Epoch 23, Val loss: 0.1320, Val F1: 0.9628
Epoch 24, Val loss: 0.1553, Val F1: 0.9552
Epoch 25, Val loss: 0.1003, Val F1: 0.9732
Epoch 26, Val loss: 0.1140, Val F1: 0.9702
Epoch 27, Val loss: 0.1060, Val F1: 0.9703
Epoch 28, Val loss: 0.1271, Val F1: 0.9669
Epoch 29, Val loss: 0.1292, Val F1: 0.9720
Epoch 30, Val loss: 0.1254, Val F1: 0.9709
[I 2026-05-31 15:31:04,352] Trial 12 finished with value: 0.9732354011699715 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'multi_3_5', 'kernels_block_1': 'single_3', 'kernels_block_2': 'multi_3_5', 'kernels_block_3': 'multi_3_7', 'n_fc_layers': 3, 'fc_hidden': 64, 'dropout': 0.335964434722964, 'activation': 'silu', 'lr': 0.0005605381413435708}. Best is trial 11 with value: 0.9735454611142842.
Epoch 1, Val loss: 0.7865, Val F1: 0.6766
[I 2026-05-31 15:31:07,078] Trial 13 pruned. 
Epoch 1, Val loss: 0.6797, Val F1: 0.7099
[I 2026-05-31 15:31:09,798] Trial 14 pruned. 
Epoch 1, Val loss: 0.7353, Val F1: 0.7435
Epoch 2, Val loss: 0.5019, Val F1: 0.8434
[I 2026-05-31 15:31:15,156] Trial 15 pruned. 
Epoch 1, Val loss: 0.3793, Val F1: 0.8583
Epoch 2, Val loss: 0.2353, Val F1: 0.9232
Epoch 3, Val loss: 0.2630, Val F1: 0.9072
Epoch 4, Val loss: 0.1861, Val F1: 0.9387
Epoch 5, Val loss: 0.1928, Val F1: 0.9328
Epoch 6, Val loss: 0.1569, Val F1: 0.9477
Epoch 7, Val loss: 0.1833, Val F1: 0.9450
