=== Job started: Wed May 27 01:57:41 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-27 01:57:47,011] A new study created in memory with name: rgb
Epoch 19, Val loss: 0.2240, Val F1: 0.9233
Epoch 20, Val loss: 0.2331, Val F1: 0.9278
Epoch 21, Val loss: 0.2115, Val F1: 0.9234
Epoch 22, Val loss: 0.1807, Val F1: 0.9407
Epoch 23, Val loss: 0.1633, Val F1: 0.9481
Epoch 24, Val loss: 0.1955, Val F1: 0.9398
Epoch 25, Val loss: 0.1675, Val F1: 0.9457
Epoch 26, Val loss: 0.2427, Val F1: 0.9291
Epoch 27, Val loss: 0.2281, Val F1: 0.9380
Epoch 28, Val loss: 0.3525, Val F1: 0.9096
[I 2026-05-27 02:07:21,192] Trial 28 finished with value: 0.9481021857052294 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 128, 'dropout': 0.3305840328225389, 'activation': 'relu', 'lr': 0.00014768156340842648}. Best is trial 28 with value: 0.9481021857052294.
Epoch 1, Val loss: 0.4796, Val F1: 0.8231
Epoch 2, Val loss: 0.4989, Val F1: 0.8084
[I 2026-05-27 02:07:24,820] Trial 29 pruned. 
Epoch 1, Val loss: 0.5898, Val F1: 0.7865
Epoch 2, Val loss: 0.4661, Val F1: 0.8333
Epoch 3, Val loss: 0.3097, Val F1: 0.8988
Epoch 4, Val loss: 0.3485, Val F1: 0.8760
Epoch 5, Val loss: 0.2649, Val F1: 0.9020
Epoch 6, Val loss: 0.2553, Val F1: 0.9085
Epoch 7, Val loss: 0.2018, Val F1: 0.9241
Epoch 8, Val loss: 0.2768, Val F1: 0.8949
Epoch 9, Val loss: 0.3182, Val F1: 0.8974
Epoch 10, Val loss: 0.2884, Val F1: 0.8957
Epoch 11, Val loss: 0.2012, Val F1: 0.9286
Epoch 12, Val loss: 0.2335, Val F1: 0.9235
Epoch 13, Val loss: 0.1868, Val F1: 0.9364
Epoch 14, Val loss: 0.1789, Val F1: 0.9370
Epoch 15, Val loss: 0.2419, Val F1: 0.9222
Epoch 16, Val loss: 0.1910, Val F1: 0.9359
Epoch 17, Val loss: 0.1706, Val F1: 0.9448
Epoch 18, Val loss: 0.2076, Val F1: 0.9276
Epoch 19, Val loss: 0.1811, Val F1: 0.9378
Epoch 20, Val loss: 0.1656, Val F1: 0.9452
Epoch 21, Val loss: 0.3319, Val F1: 0.8994
Epoch 22, Val loss: 0.2805, Val F1: 0.9085
Epoch 23, Val loss: 0.1574, Val F1: 0.9495
Epoch 24, Val loss: 0.1852, Val F1: 0.9392
Epoch 25, Val loss: 0.2938, Val F1: 0.9166
Epoch 26, Val loss: 0.2420, Val F1: 0.9280
Epoch 27, Val loss: 0.2462, Val F1: 0.9233
Epoch 28, Val loss: 0.3341, Val F1: 0.8949
rgb: best F1 = 0.9481, params = {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 128, 'dropout': 0.3305840328225389, 'activation': 'relu', 'lr': 0.00014768156340842648}
=== Job finished: Wed May 27 02:08:15 CEST 2026 ===

###############################################################################
Hábrók Cluster
Job 29082648 for user s5964733
Finished at: Wed May 27 02:08:20 CEST 2026

Job details:
============

Job ID                         : 29082648
Name                           : tune_rgb
User                           : s5964733
Partition                      : gpushort
Nodes                          : rtx6000gpu2
Number of Nodes                : 1
Cores                          : 8
Number of Tasks                : 1
State                          : COMPLETED  
Submit                         : 2026-05-27T01:57:38
Start                          : 2026-05-27T01:57:39
End                            : 2026-05-27T02:08:15
Reserved walltime              : 04:00:00
Used walltime                  : 00:10:36
Used CPU time                  : 00:24:26 (Efficiency: 28.82%)
% User (Computation)           : 76.81%
% System (I/O)                 : 23.19%
Total memory reserved          : 32G
Maximum memory used            : 1.74G
Requested GPUs                 : rtx_pro_6000=1
Allocated GPUs                 : rtx_pro_6000=1
Max GPU utilization            : 48%
Max GPU memory used            : 1.52G

Acknowledgements:
=================

Please see this page for information about acknowledging Hábrók in your publications:

https://wiki.hpc.rug.nl/habrok/introduction/scientific_output

################################################################################
